Variable ID,Full Name,Unit,Lower Threshold,Upper Threshold,"Files present (Output definition ID,Level No,Time resolution)"
sd_v,standard_deviation_v,m.s-1,,,"GILL121R03,0,30min GILL121R03,1,30min GILL121R03,2,30min GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
sd_w,standard_deviation_w,m.s-1,,,"GILL121R03,0,30min GILL121R03,1,30min GILL121R03,2,30min GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
spike,spike_flag,N/A,,,"GILL121R03_10Hz,1,10Hz GILL121R03_10Hz,2,10Hz"
spike_pct,spike_percentage,%,,,"GILL121R03,1,30min GILL121R03,2,30min"
tol_dir,tolerance_wind_direction,degree,,,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
tol_Q_H,tolerance_Q_H,W.m-2,,,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
tol_ustar,tolerance_ustar,m.s-1,,,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
tol_WS,tolerance_WS,m.s-1,,,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
Tsonic,sonic_temperature,Celsius,,,"GILL121R03,0,30min GILL121R03,1,30min GILL121R03,2,30min GILL121R03_10Hz,0,10Hz GILL121R03_10Hz,1,10Hz GILL121R03_10Hz,2,10Hz"
Tsonic_K,sonic_temperature_kelvin,K,,,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
u,zonal_wind_component,m.s-1,,,"GILL121R03,0,30min GILL121R03,1,30min GILL121R03,2,30min GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min GILL121R03_10Hz,0,10Hz GILL121R03_10Hz,1,10Hz GILL121R03_10Hz,2,10Hz"
ustar,friction_velocity,m.s-1,,,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
v,meridional_wind_component,m.s-1,,,"GILL121R03,0,30min GILL121R03,1,30min GILL121R03,2,30min GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min GILL121R03_10Hz,0,10Hz GILL121R03_10Hz,1,10Hz GILL121R03_10Hz,2,10Hz"
w,Vertical wind component,m.s-1,,,"GILL121R03,0,30min GILL121R03,1,30min GILL121R03,2,30min GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min GILL121R03_10Hz,0,10Hz GILL121R03_10Hz,1,10Hz GILL121R03_10Hz,2,10Hz"
WS,horizontal_wind_speed,m.s-1,0.0,150.0,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
zL,atmospheric_stability_parameter,dimensionless,,,"GILL121R03_ECpack,0,30min GILL121R03_ECpack,1,30min GILL121R03_ECpack,2,30min"
